Video	QP	Resolution	AverageVQM
BBB	24	720	0.97631275
BBB	26	720	0.97087325
BBB	28	720	0.963911
BBB	32	720	0.94935875
BBB	36	720	0.9318625
BBB	40	720	0.66137675
BBB	48	720	0.484666275
BBB	52	720	0.4649191
ST	24	720	0.968639666666667
ST	26	720	0.963007333333333
ST	28	720	0.955954333333333
ST	32	720	0.939838666666667
ST	36	720	0.921065
ST	40	720	0.888304666666667
ST	48	720	0.579252
ST	52	720	0.554670666666667
Sport	24	144	0.8145545
Sport	24	240	0.90649
Sport	24	360	0.945588
Sport	24	480	0.957758
Sport	24	720	0.969333
Sport	26	144	0.8059995
Sport	26	240	0.8980415
Sport	26	360	0.936257
Sport	26	480	0.9499625
Sport	26	720	0.9631298
News	24	144	0.553626146666667
News	24	240	0.885524913333333
News	24	360	0.938467186666667
News	24	480	0.95607666
News	24	720	0.970787266666666
News	26	144	0.713216103947369
News	26	240	0.8761897
News	26	360	0.929722806666667
News	26	480	0.94846488
News	26	720	0.96406996111111
