Video	QP	Resolution	AverageVQM
BBB	24	720	0.971606576190476
BBB	26	720	0.964570623809524
BBB	28	720	0.9564633
BBB	32	720	0.935571480952381
BBB	36	720	0.868431169014085
BBB	40	720	0.81014745
BBB	48	720	0.6223977
BBB	52	720	0.54167198
ST	24	720	0.971389046666667
ST	26	720	0.96658586
ST	28	720	0.960128746666667
ST	32	720	0.946061793333333
ST	36	720	0.832541113333333
ST	40	720	0.626128072727273
ST	48	720	0.228614183333333
ST	52	720	0.309263733333333
Video	QP	Resolution	AverageVQM
Sport	24	144	0.812577066666667
Sport	24	240	0.897350573333333
Sport	24	360	0.943514693333334
Sport	24	480	0.95931952
Sport	24	720	0.972902686346864
Sport	26	144	0.77973328
Sport	26	240	0.888861426666667
Sport	26	360	0.93450152
Sport	26	480	0.95160736
Sport	26	720	0.966971143911439
News	24	144	0.686415693333333
News	24	240	0.890111626666667
News	24	360	0.939564573333333
News	24	480	0.95643668
News	24	720	0.970623955555556
News	26	144	0.7362863925
News	26	240	0.880914786666667
News	26	360	0.930440013333333
News	26	480	0.94860864
News	26	720	0.963818333333333
